,R0,Sero_peak
414,1.414,18.1993
415,1.415,18.228
416,1.416,18.256
417,1.417,18.2833
418,1.418,18.3099
419,1.419,18.3396
420,1.42,18.3648
421,1.421,18.3931
422,1.422,18.4207
423,1.423,18.4476
424,1.424,18.4738
425,1.425,18.5032
426,1.426,18.528
427,1.427,18.556
428,1.428,18.5834
429,1.429,18.6101
430,1.43,18.636
431,1.431,18.6613
432,1.432,18.6899
433,1.433,18.7138
434,1.434,18.741
435,1.435,18.7676
436,1.436,18.7935
437,1.437,18.8187
438,1.438,18.8473
439,1.439,18.8712
440,1.44,18.8985
441,1.441,18.9252
442,1.442,18.9511
443,1.443,18.9765
444,1.444,19.0011
445,1.445,19.0293
446,1.446,19.0526
447,1.447,19.0795
448,1.448,19.1058
449,1.449,19.127
450,1.45,19.1563
451,1.451,19.1805
452,1.452,19.2041
453,1.453,19.2315
454,1.454,19.2537
455,1.455,19.2797
456,1.456,19.3051
457,1.457,19.3298
458,1.458,19.3539
459,1.459,19.3773
460,1.46,19.4046
461,1.461,19.4267
462,1.462,19.4527
463,1.463,19.4781
464,1.464,19.5028
465,1.465,19.5269
466,1.466,19.5504
467,1.467,19.5732
468,1.468,19.6
469,1.469,19.6215
470,1.47,19.6471
471,1.471,19.6721
472,1.472,19.6964
473,1.473,19.7201
474,1.474,19.7431
475,1.475,19.7656
476,1.476,19.7874
477,1.477,19.8133
478,1.478,19.8387
479,1.479,19.8586
480,1.48,19.8827
481,1.481,19.9062
482,1.482,19.9291
483,1.483,19.9514
484,1.484,19.978
485,1.485,19.999
486,1.486,20.0244
487,1.487,20.0442
488,1.488,20.0684
489,1.489,20.092
490,1.49,20.1149
491,1.491,20.1373
492,1.492,20.1591
493,1.493,20.1802
494,1.494,20.2058
495,1.495,20.2258
496,1.496,20.2503
497,1.497,20.2741
498,1.498,20.2923
499,1.499,20.315
500,1.5,20.3371
501,1.501,20.3586
502,1.502,20.3847
503,1.503,20.405
504,1.504,20.4248
505,1.505,20.4492
506,1.506,20.473
507,1.507,20.491
508,1.508,20.5137
509,1.509,20.5358
510,1.51,20.5573
511,1.511,20.5783
512,1.512,20.5987
513,1.513,20.6239
514,1.514,20.6431
515,1.515,20.6672
516,1.516,20.6853
517,1.517,20.7082
518,1.518,20.7306
519,1.519,20.7524
520,1.52,20.7682
521,1.521,20.7944
522,1.522,20.8146
523,1.523,20.8342
524,1.524,20.8532
525,1.525,20.8773
526,1.526,20.8952
527,1.527,20.9181
528,1.528,20.9349
529,1.529,20.9567
530,1.53,20.9781
531,1.531,20.9988
532,1.532,21.019
533,1.533,21.0387
534,1.534,21.0578
535,1.535,21.0822
536,1.536,21.1002
537,1.537,21.1234
538,1.538,21.1404
539,1.539,21.1626
540,1.54,21.1784
541,1.541,21.1996
542,1.542,21.2202
543,1.543,21.2402
544,1.544,21.2598
545,1.545,21.2788
546,1.546,21.2973
547,1.547,21.3211
548,1.548,21.3386
549,1.549,21.3614
550,1.55,21.3778
551,1.551,21.3996
552,1.552,21.4149
553,1.553,21.4356
554,1.554,21.4559
555,1.555,21.4757
556,1.556,21.4949
557,1.557,21.5136
558,1.558,21.5318
559,1.559,21.5495
560,1.56,21.5729
561,1.561,21.5895
562,1.562,21.6056
563,1.563,21.6275
564,1.564,21.6426
565,1.565,21.6634
566,1.566,21.6837
567,1.567,21.7035
568,1.568,21.7228
569,1.569,21.7417
570,1.57,21.76
571,1.571,21.7778
572,1.572,21.7951
573,1.573,21.8119
574,1.574,21.8283
575,1.575,21.8505
576,1.576,21.8658
577,1.577,21.887
578,1.578,21.9013
579,1.579,21.9216
580,1.58,21.9414
581,1.581,21.9607
582,1.582,21.973
583,1.583,21.9913
584,1.584,22.0091
585,1.585,22.0265
586,1.586,22.0499
587,1.587,22.0663
588,1.588,22.0822
589,1.589,22.0977
590,1.59,22.1192
591,1.591,22.1337
592,1.592,22.1543
593,1.593,22.1678
594,1.594,22.1875
595,1.595,22.2067
596,1.596,22.2188
597,1.597,22.2371
598,1.598,22.2549
599,1.599,22.2722
600,1.6,22.2891
601,1.601,22.3056
602,1.602,22.3215
603,1.603,22.3439
604,1.604,22.3589
605,1.605,22.3734
606,1.606,22.3944
607,1.607,22.408
608,1.608,22.4281
609,1.609,22.4408
610,1.61,22.46
611,1.611,22.4787
612,1.612,22.49
613,1.613,22.5078
614,1.614,22.5252
615,1.615,22.5421
616,1.616,22.5586
617,1.617,22.5746
618,1.618,22.5902
619,1.619,22.6053
620,1.62,22.6199
621,1.621,22.6413
622,1.622,22.6551
623,1.623,22.6684
624,1.624,22.6884
625,1.625,22.7008
626,1.626,22.72
627,1.627,22.7388
628,1.628,22.7498
629,1.629,22.7677
630,1.63,22.7852
631,1.631,22.8022
632,1.632,22.8114
633,1.633,22.8276
634,1.634,22.8433
635,1.635,22.8586
636,1.636,22.8808
637,1.637,22.8952
638,1.638,22.9092
639,1.639,22.9228
640,1.64,22.9359
641,1.641,22.956
642,1.642,22.9683
643,1.643,22.9876
644,1.644,22.999
645,1.645,23.0174
646,1.646,23.028
647,1.647,23.0456
